Name,HÖHE,Layer,Position X,Position Y,Position Z,INFO,KOORDINATEN,MESSWERT,NUMMER
HP_FERTIG_OBERKANTE,51.65,HÖHEN,4462753.1901,5794128.4031,51.8260,,,,
HP_FERTIG_OBERKANTE,51.73,HÖHEN,4462717.5498,5794097.1196,51.8200,,,,
HP_FERTIG_OBERKANTE,51.40,HÖHEN,4462765.1643,5794123.1850,51.6130,,,,
HP_FERTIG_OBERKANTE,51.83,HÖHEN,4462755.9532,5794149.8791,51.9950,,,,
HP_FERTIG_OBERKANTE,51.64,HÖHEN,4462733.4304,5794099.8985,51.7800,,,,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462727.0264,5794104.1083,51.8600,,,,
HP_FERTIG_OBERKANTE,51.66,HÖHEN,4462729.7697,5794100.2965,51.8000,,,,
HP_FERTIG_OBERKANTE,51.64,HÖHEN,4462732.4005,5794100.8412,51.7800,,,,
HP_FERTIG_OBERKANTE,51.79,HÖHEN,4462725.3712,5794104.6428,51.9300,,,,
HP_FERTIG_OBERKANTE,51.84,HÖHEN,4462721.4600,5794108.5010,51.9800,,,,
HP_FERTIG_OBERKANTE,51.79,HÖHEN,4462722.5107,5794102.1732,52.9300,,,,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462723.9828,5794105.3278,51.8900,,,,
HP_FERTIG_OBERKANTE,51.84,HÖHEN,4462723.9561,5794111.0446,51.9800,,,,
HP_FERTIG_OBERKANTE,51.91,HÖHEN,4462754.5150,5794152.3400,52.0490,,,,
HP_FERTIG_OBERKANTE,51.74,HÖHEN,4462771.0430,5794140.4670,51.8790,,,,
HP_FERTIG_OBERKANTE,51.68,HÖHEN,4462772.7720,5794139.0960,51.8170,,,,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462767.5460,5794137.6390,51.8910,,,,
HP_FERTIG_OBERKANTE,51.74,HÖHEN,4462770.2130,5794140.3890,51.8830,,,,
HP_FERTIG_OBERKANTE,51.64,HÖHEN,4462773.3650,5794138.6200,51.7840,,,,
HP_FERTIG_OBERKANTE,51.60,HÖHEN,4462774.5140,5794137.1000,51.7370,,,,
HP_FERTIG_OBERKANTE,51.55,HÖHEN,4462774.3040,5794136.3390,51.6880,,,,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462772.2790,5794138.2260,51.8610,,,,
HP_FERTIG_OBERKANTE,51.63,HÖHEN,4462774.1420,5794137.9840,51.7670,,,,
HP_FERTIG_OBERKANTE,51.70,HÖHEN,4462767.1870,5794140.2671,0.1266,,,,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462765.3140,5794140.5460,51.8940,,,,
HP_FERTIG_OBERKANTE,51.73,HÖHEN,4462767.8740,5794141.3580,51.8660,,,,
HP_FERTIG_OBERKANTE,51.73,HÖHEN,4462769.2120,5794142.2610,51.8750,,,,
HP_FERTIG_OBERKANTE,51.76,HÖHEN,4462763.4420,5794140.2670,51.9040,,,,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462766.1520,5794135.8880,51.8620,,,,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462768.7450,5794139.2480,51.8880,,,,
HP_FERTIG_OBERKANTE,51.74,HÖHEN,4462765.0780,5794137.6700,51.8820,,,,
HP_FERTIG_OBERKANTE,51.69,HÖHEN,4462763.9260,5794136.5230,51.8330,,,,
HP_FERTIG_OBERKANTE,51.52,HÖHEN,4462773.4270,5794136.3570,51.6650,,,,
HP_FERTIG_OBERKANTE,51.83,HÖHEN,4462759.2890,5794148.4250,51.9730,,,,
HP_FERTIG_OBERKANTE,51.87,HÖHEN,4462759.0980,5794149.9420,52.0140,,,,
HP_FERTIG_OBERKANTE,51.50,HÖHEN,4462771.8810,5794131.0200,51.6420,,,,
HP_FERTIG_OBERKANTE,51.45,HÖHEN,4462772.6810,5794129.8860,51.5850,,,,
HP_FERTIG_OBERKANTE,51.81,HÖHEN,4462757.6320,5794146.0160,51.9470,,,,
HP_FERTIG_OBERKANTE,51.86,HÖHEN,4462757.0310,5794151.0410,51.9990,,,,
HP_FERTIG_OBERKANTE,51.87,HÖHEN,4462755.6100,5794151.9990,52.0100,,,,
HP_FERTIG_OBERKANTE,51.81,HÖHEN,4462756.7240,5794147.3290,51.9470,,,,
HP_FERTIG_OBERKANTE,51.85,HÖHEN,4462757.3040,5794149.5010,51.9950,,,,
HP_FERTIG_OBERKANTE,51.57,HÖHEN,4462772.1970,5794133.1370,51.7140,,,,
HP_FERTIG_OBERKANTE,51.59,HÖHEN,4462771.1840,5794134.1910,51.7350,,,,
HP_FERTIG_OBERKANTE,51.54,HÖHEN,4462774.0210,5794135.4790,51.6780,,,,
HP_FERTIG_OBERKANTE,51.56,HÖHEN,4462772.9200,5794134.3300,51.6990,,,,
HP_FERTIG_OBERKANTE,51.53,HÖHEN,4462769.9170,5794132.6320,51.6720,,,,
HP_FERTIG_OBERKANTE,51.64,HÖHEN,4462766.3960,5794133.0920,51.7790,,,,
HP_FERTIG_OBERKANTE,51.53,HÖHEN,4462768.0990,5794129.9630,51.6720,,,,
HP_FERTIG_OBERKANTE,51.57,HÖHEN,4462768.9580,5794132.2170,51.7060,,,,
HP_FERTIG_OBERKANTE,51.56,HÖHEN,4462768.3240,5794133.6610,51.7000,,,,
HP_FERTIG_OBERKANTE,53.16,HÖHEN,4462732.5430,5794079.7210,53.3000,,,,
HP_FERTIG_OBERKANTE,52.49,HÖHEN,4462773.1920,5794092.1130,52.6260,,,,
HP_FERTIG_OBERKANTE,52.68,HÖHEN,4462752.4330,5794103.1440,52.8180,,,,
HP_FERTIG_OBERKANTE,53.03,HÖHEN,4462737.9570,5794087.7800,53.1730,,,,
HP_FERTIG_OBERKANTE,52.35,HÖHEN,4462787.6720,5794105.8170,52.4900,,,,
HP_FERTIG_OBERKANTE,53.40,HÖHEN,4462789.6720,5794074.6200,53.5410,,,,
HP_FERTIG_OBERKANTE,53.10,HÖHEN,4462802.0420,5794088.8520,53.2410,,,,
HP_FERTIG_OBERKANTE,53.69,HÖHEN,4462774.5790,5794059.7080,53.8320,,,,
HP_FERTIG_OBERKANTE,53.69,HÖHEN,4462776.4030,5794060.6830,53.8290,,,,
HP_FERTIG_OBERKANTE,53.38,HÖHEN,4462774.6930,5794062.3530,53.5170,,,,
HP_FERTIG_OBERKANTE,52.94,HÖHEN,4462787.8580,5794076.5870,53.0810,,,,
HP_FERTIG_OBERKANTE,51.19,HÖHEN,4462784.2090,5794127.0370,51.3290,,,,
HP_FERTIG_OBERKANTE,51.17,HÖHEN,4462779.4780,5794103.2960,51.3080,,,,
HP_FERTIG_OBERKANTE,52.42,HÖHEN,4462800.0820,5794090.5900,52.5630,,,,
HP_FERTIG_OBERKANTE,52.78,HÖHEN,4462780.5600,5794129.8220,52.9190,,,,
HP_FERTIG_OBERKANTE,52.64,HÖHEN,4462766.1380,5794116.4080,52.7820,,,,
HP_FERTIG_OBERKANTE,52.08,HÖHEN,4462811.4290,5794101.9160,52.2170,,,,
